,date,recipient,withdraw,balance,category
101,2021-08-17,FIDO,63.98,14186.54,Necessities
102,2021-08-19,WAL-MART SUPERCENTER#3094,4.57,123.42,Health and Vanity
103,2021-08-19,JEAN COUTU #071,15.63,118.85,Health and Vanity
104,2021-08-21,WINNERS 340,102.27,461.97,Health and Vanity
105,2021-08-21,UNIQLOMONTREAL EATON CENT,278.93,359.70,Health and Vanity
106,2021-08-21,UNIQLOMONTREAL EATON CENT,14.84,80.77,Health and Vanity
107,2021-08-23,FIZZ,68.99,530.96,Necessities
108,2021-08-23,CDN SHR INVEST   INV,100.00,19470.05,Investments
109,2021-08-24,AMZN Mktp CA,71.70,-72.20,Health and Vanity
110,2021-08-24,TFR-TO C/C,634.86,18835.19,Investments
111,2021-08-25,dhgate.com,26.56,-56.64,Health and Vanity
112,2021-08-25,RESTAURANT BOUSTAN CRESCE,15.28,-41.36,Food
113,2021-08-28,PHARMAPRIX #1957,65.49,24.13,Necessities
114,2021-08-30,AMZN Mktp CA,66.67,90.80,Productivity
115,2021-08-31,GRAND & TOY A0,61.58,152.38,Productivity
116,2021-09-02,CDN SHR INVEST   INV,300.00,27470.12,Investments
117,2021-09-03,HOT DOG MOBILE    _F,4.50,27465.62,Food
118,2021-09-04,MCGILL,80.00,232.38,Education
119,2021-09-04,AMZN Mktp CA,71.31,303.69,Education
120,2021-09-05,AMZN Mktp CA,28.34,332.03,Health and Vanity
121,2021-09-07,SAVINGS ACC,0.50,27465.12,Investments
122,2021-09-08,SHUYI TEALICIOUS MCGILL,6.03,338.06,Food
123,2021-09-10,AMZN Mktp CA,49.29,64.74,Productivity
124,2021-09-10,TFR-TO C/C,338.06,33127.06,Investments
125,2021-09-10,E-TRANSFER,5.75,33121.31,Material Desires
126,2021-09-10,BIXI MONTREAL,0.50,15.45,Necessities
127,2021-09-10,STEAM PURCHASE,14.95,14.95,Recreation
128,2021-09-11,AMZN Mktp CA,39.70,128.45,Education
129,2021-09-11,BIXI MONTREAL,1.50,79.65,Necessities
130,2021-09-11,PP*HUMBLEBUNDL HUMBLEBUND,13.41,78.15,Recreation
131,2021-09-11,"EXPLAIN EVERYTHING SALES,",9.10,88.75,Productivity
132,2021-09-13,STAPLES.CA,132.50,223.25,Productivity
133,2021-09-14,E-TRANSFER,92.63,33028.68,Material Desires
134,2021-09-14,E-TRANSFER,92.63,33028.68,Material Desires
135,2021-09-17,FIDO,5.75,34599.12,Necessities
136,2021-09-17,FIDO,5.75,34599.129:03 AM 2021-09-20,Necessities
137,2021-09-20,AMZN Mktp CA,43.24,11.64,Productivity
138,2021-09-20,TFR-TO C/C,223.25,34375.87,Investments
139,2021-09-20,GOOGLE*DEV47APPS,2.88,-31.60,Productivity
140,2021-09-23,FIZZ,57.49,40.79,Necessities
141,2021-09-24,MATCHA ZANMAI,11.90,52.69,Food
142,2021-09-28,NON-TD ATM W/D      ,104.00,34471.87,Health and Vanity
143,2021-09-29,SAVINGS ACC,0.50,34471.37,Investments
144,2021-09-29,OTHER BANK FEES     ,2.00,34469.64,Health and Vanity
145,2021-09-29,KITS Kits,128.70,181.39,Health and Vanity
146,2021-10-01,TFR-TO C/C,152.38,35205.25,Investments
147,2021-10-01,E-TRANSFER,25.00,35180.25,Material Desires
148,2021-10-02,STM LANGELIER DIN101,54.00,83.01,Necessities
149,2021-10-04,CDN SHR INVEST   INV,300.00,34823.25,Investments
150,2021-10-04,E-TRANSFER,70.00,35123.25,Material Desires
151,2021-10-06,JEAN COUTU #152,20.13,103.14,Health and Vanity
152,2021-10-09,DELL CANADA INC (CAD-C,672.61,775.75,Productivity
153,2021-10-10,AMZN Mktp CA,42.89,818.64,Health and Vanity
154,2021-10-10,"EXPLAIN EVERYTHING SALES,",9.00,827.64,Productivity
155,2021-10-14,CHATIME,7.41,835.05,Food
156,2021-10-14,Basha AV DU PARC,11.49,846.54,Food
157,2021-10-19,STEAM,4.59,851.13,Recreation
158,2021-10-20,FIDO,5.75,35862.52,Necessities
159,2021-10-25,TFR-TO C/C,851.13,35011.39,Investments
160,2021-10-26,PP*HUMBLEBUNDL HUMBLEBUND,6.10,6.10,Recreation
161,2021-10-26,E-TRANSFER,5.00,35006.39,Material Desires
162,2021-10-28,STEAM,6.02,12.12,Recreation
163,2021-11-01,STM LANGELIER DIN101,54.00,66.12,Necessities
164,2021-11-02,CDN SHR INVEST   INV,300.00,35531.18,Investments
165,2021-11-05,BEST BUY.CA # 900,281.38,347.50,Investments
166,2021-11-07,ROCKABERRY ST LEONARD,20.95,368.45,Food
167,2021-11-10,"EXPLAIN EVERYTHING SALES,",8.96,368.60,Productivity
168,2021-11-10,E-TRANSFER,57.50,35473.68,Material Desires
169,2021-11-12,TFR-TO C/C,359.64,35114.04,Investments
170,2021-11-12,AMZN Mktp CA,148.30,516.90,Productivity
171,2021-11-16,SEPHORA.CA,14.49,171.75,Health and Vanity
172,2021-11-22,FIDO,5.75,35985.89,Necessities
173,2021-11-22,TFR-TO C/C,171.75,35814.14,Investments
174,2021-11-27,GOOGLE*JINPAI,2.31,2.31,Donation
175,2021-11-28,RESTAURANT DEVI,25.06,27.37,Food
176,2021-11-29,E-TRANSFER,130.00,35684.14,Material Desires
177,2021-12-02,STM LANGELIER DIN101,54.00,81.37,Necessities
178,2021-12-02,CDN SHR INVEST   INV,300.00,35931.92,Investments
179,2021-12-06,CDN SHR INVEST   INV,5000.00,30931.92,Investments
180,2021-12-07,BOOKDEPOSITORY.COM,66.72,148.09,Education
181,2021-12-10,"EXPLAIN EVERYTHING SALES,",9.13,157.22,Productivity
182,2021-12-20,E-TRANSFER,56.46,30932.96,Material Desires
183,2021-12-20,FIDO,5.75,30927.21,Necessities
185,2021-12-21,MCGILL,4871.17,25915.90,Education
186,2021-12-29,AMZN Mktp CA,34.79,25869.07,Health and Vanity
187,2021-12-29,Memory Express,125.53,25743.54,Productivity
188,2021-12-29,AMZN Mktp CA,12.04,25903.86,Health and Vanity
189,2021-12-29,PAYPAL *BANGGOOD,13.00,25730.54,Material Desires
