,Category,Date,AmountIn,AmountOut
478,Restaurants,2023-03-06,0.0,10.93
479,Transfers,2023-03-06,439.44,0.0
480,Groceries,2023-03-06,0.0,397.9
481,Transfers,2023-03-06,0.0,42.6
482,Transfers,2023-03-06,0.0,439.44
483,Restaurants,2023-03-06,0.0,169.53
484,Misc,2023-03-06,41.6,0.0
485,Health,2023-03-06,0.0,78.17
486,Health,2023-03-07,0.0,25.01
487,Transfers,2023-03-09,0.0,300.19
488,Restaurants,2023-03-09,0.0,17.25
489,Transfers,2023-03-09,300.19,0.0
490,Restaurants,2023-03-13,0.0,10.01
491,Restaurants,2023-03-13,0.0,22.48
492,Misc,2023-03-13,49.0,0.0
493,Employment,2023-03-15,1313.07,0.0
494,Travel,2023-03-15,0.0,145.01
495,Groceries,2023-03-15,0.0,5.0
496,Health,2023-03-16,0.0,25.01
497,Entertainment,2023-03-17,0.0,57.17
498,Groceries,2023-03-18,0.0,7.55
499,Health,2023-03-20,0.0,48.29
500,Investments,2023-03-21,0.0,1000.0
501,Transfers,2023-03-23,0.0,300.0
502,Transfers,2023-03-23,300.0,0.0
503,Health,2023-03-25,0.0,393.4
504,Health,2023-03-25,0.0,97.0
505,Health,2023-03-25,0.0,50.0
506,Subsidiary,2023-03-26,25.0,0.0
507,Health,2023-03-26,34.11,0.0
508,Transfers,2023-03-27,14.04,0.0
509,Transfers,2023-03-27,0.0,14.04
510,Groceries,2023-03-27,0.0,317.76
511,Employment,2023-03-29,1313.07,0.0
512,Transfers,2023-03-30,0.0,723.78
513,Entertainment,2023-03-30,0.0,42.0
514,Entertainment,2023-03-30,0.0,50.0
515,Health,2023-03-30,0.0,25.01
516,Transfers,2023-03-30,723.78,0.0
517,Entertainment,2023-03-31,0.0,2.0
518,Subsidiary,2023-03-31,17.38,0.0
519,Subsidiary,2023-03-31,0.05,0.0
520,Restaurants,2023-03-31,0.0,18.51
521,Transfers,2023-04-03,0.0,983.63
522,Transfers,2023-04-03,0.0,99.97
523,Reimbursements,2023-04-05,116.75,0.0
524,Subsidiary,2023-04-06,0.49,0.0
525,Reimbursements,2023-04-06,1670.0,0.0
526,Misc,2023-04-06,58.5,0.0
527,Groceries,2023-04-07,0.0,35.14
528,Health,2023-04-07,0.0,45.98
529,Groceries,2023-04-07,0.0,5.0
530,Groceries,2023-04-08,0.0,8.96
531,Restaurants,2023-04-09,0.0,8.33
532,Restaurants,2023-04-09,0.0,14.36
533,Employment,2023-04-11,7330.29,0.0
